Code,"Continent, Region, Country",century,decade,year,height.cm,year_decade,height.in
642,Romania,19,0,0,168.289,1900,66.25551181102361
642,Romania,19,4,0,169.253,1940,66.63503937007874
643,Russian Federation,18,1,0,159.8,1810,62.91338582677166
643,Russian Federation,18,2,0,162.1,1820,63.818897637795274
643,Russian Federation,18,3,0,163,1830,64.1732283464567
643,Russian Federation,18,4,0,164.2,1840,64.64566929133858
643,Russian Federation,18,5,0,163.4,1850,64.33070866141733
643,Russian Federation,18,6,0,163.3,1860,64.29133858267717
643,Russian Federation,18,7,0,165.8,1870,65.27559055118111
643,Russian Federation,18,8,0,166.6,1880,65.59055118110236
643,Russian Federation,18,9,0,168.3,1890,66.25984251968504
643,Russian Federation,19,0,0,169.2,1900,66.61417322834646
643,Russian Federation,19,1,0,169.1,1910,66.5748031496063
643,Russian Federation,19,2,0,167,1920,65.74803149606299
643,Russian Federation,19,3,0,167.9,1930,66.10236220472441
643,Russian Federation,19,4,0,169,1940,66.53543307086615
643,Russian Federation,19,5,0,172,1950,67.71653543307087
643,Russian Federation,19,6,0,173.6,1960,68.34645669291339
643,Russian Federation,19,7,0,177,1970,69.68503937007874
643,Russian Federation,19,8,0,177,1980,69.68503937007874
703,Slovakia,18,5,0,164.1,1850,64.60629921259843
703,Slovakia,18,6,0,163.5,1860,64.37007874015748
703,Slovakia,18,7,0,165.1,1870,65
703,Slovakia,18,8,0,165.8,1880,65.27559055118111
703,Slovakia,19,2,0,171.7,1920,67.59842519685039
703,Slovakia,19,3,0,173.3,1930,68.22834645669292
703,Slovakia,19,4,0,172.8,1940,68.03149606299213
804,Ukraine,18,2,0,164.1,1820,64.60629921259843
804,Ukraine,18,3,0,164.8,1830,64.88188976377954
804,Ukraine,18,4,0,164.1,1840,64.60629921259843
804,Ukraine,18,5,0,163.1,1850,64.21259842519686
804,Ukraine,18,7,0,164.6,1870,64.80314960629921
804,Ukraine,18,8,0,165.4,1880,65.11811023622047
124,Canada,18,1,0,171.5,1810,67.51968503937009
124,Canada,18,2,0,171.5,1820,67.51968503937009
124,Canada,18,3,0,171.5,1830,67.51968503937009
124,Canada,18,4,0,170.4,1840,67.08661417322834
124,Canada,18,5,0,172.466,1850,67.9
124,Canada,18,6,0,172,1860,67.71653543307087
124,Canada,18,7,0,171.2,1870,67.4015748031496
124,Canada,18,8,0,171.2,1880,67.4015748031496
124,Canada,18,9,0,170.7,1890,67.20472440944881
124,Canada,19,0,0,169.9,1900,66.88976377952757
124,Canada,19,1,0,171.5,1910,67.51968503937009
124,Canada,19,2,0,173,1920,68.11023622047244
124,Canada,19,3,0,172.7,1930,67.99212598425197
124,Canada,19,4,0,174.6,1940,68.74015748031496
124,Canada,19,5,0,177,1950,69.68503937007874
124,Canada,19,6,0,178.3,1960,70.1968503937008
124,Canada,19,7,0,178.8,1970,70.39370078740158
124,Canada,19,8,0,179.6,1980,70.70866141732284
840,United States of America,18,2,0,172.2,1820,67.79527559055119
840,United States of America,18,3,0,173.5,1830,68.30708661417323
840,United States of America,18,4,0,172.2,1840,67.79527559055119
840,United States of America,18,5,0,171.1,1850,67.36220472440945
840,United States of America,18,6,0,170.6,1860,67.16535433070867
840,United States of America,18,7,0,171.1,1870,67.36220472440945
840,United States of America,18,8,0,169.5,1880,66.73228346456693
840,United States of America,18,9,0,169.1,1890,66.5748031496063
840,United States of America,19,0,0,170,1900,66.92913385826772
840,United States of America,19,1,0,172.1,1910,67.75590551181102
840,United States of America,19,2,0,173.1,1920,68.14960629921259
840,United States of America,19,3,0,173.4,1930,68.26771653543307
840,United States of America,19,4,0,176.1,1940,69.33070866141732
840,United States of America,19,5,0,177.1,1950,69.72440944881889
840,United States of America,19,6,0,177.3,1960,69.80314960629921
840,United States of America,19,7,0,178.3,1970,70.1968503937008
840,United States of America,19,8,0,179,1980,70.4724409448819
192,Cuba,18,7,0,167.1,1870,65.78740157480316
192,Cuba,18,8,0,166.8,1880,65.66929133858268
192,Cuba,18,9,0,166,1890,65.35433070866142
192,Cuba,19,0,0,166.1,1900,65.39370078740158
192,Cuba,19,1,0,167.9,1910,66.10236220472441
192,Cuba,19,4,0,169.4,1940,66.69291338582677
192,Cuba,19,5,0,169.2,1950,66.61417322834646
214,Dominican Republic,19,4,0,167.4,1940,65.90551181102363
214,Dominican Republic,19,5,0,168.1,1950,66.18110236220473
214,Dominican Republic,19,6,0,169,1960,66.53543307086615
214,Dominican Republic,19,7,0,168.8,1970,66.45669291338584
332,Haiti,19,2,0,166.9,1920,65.70866141732284
332,Haiti,19,3,0,166.707,1930,65.63267716535432
332,Haiti,19,5,0,170.377,1950,67.07755905511812
